,French,English
0,pensais,thought
1,demande,request
2,mois,month
3,laisser,let
4,mettre,to put
5,aucun,no
6,laisse,leash
7,eux,them
8,chaque,each
9,parlé,speak
10,devrait,should
11,bébé,baby
12,longtemps,long time
13,heures,hours
14,vont,will
15,revoir,meet again
16,compris,understood
17,savais,knew
18,pourrais,could
19,affaire,case
20,donner,give
21,type,type
22,leurs,their
23,donné,given
24,train,train
25,corps,body
26,endroit,place
27,yeux,eyes
28,façon,way
29,écoute,listen
30,trouve,find
31,premier,first
32,main,hand
33,première,first
34,pouvoir,power
35,sois,be
36,tellement,so much
37,enfant,child
38,venu,came
39,suite,after
40,devant,in front of
41,vers,towards
42,demandé,request
43,chambre,bedroom
44,droit,law
45,aujourd'hui,today
46,mari,husband
47,cause,cause
48,enfin,finally
49,espère,hope
50,eau,water
51,attendez,Wait
52,nouvelle,new
53,arrêter,Stop
54,dirait,would say
55,donne,given
56,loin,far
57,fin,end
58,gros,large
59,plutôt,rather
60,aura,will have
61,filles,girls
62,bureau,office
